The user wants a transcript of the speech in the audio.

1.  **Listen to the audio segment by segment.**
    *   09:56 - 10:13: 那么这个反汇编在什么地方呢？我们举个例子。举个例子。如果我组织了几条指令，写了一段源程序。那源程序没什么意义，就为了说明问题。其实我写成MOV
    *   10:13 - 10:21: AL, 12H；
    *   10:21 - 10:29: ADD AL, 21H；
    *   10:29 - 10:33: PUSH AX；
    *   10:33 - 10:41: 然后AND，我随便写了几条指令啊，BL, AL；
    *   10:41 - 10:45: 我POP AX。
    *   10:45 - 10:55: 好吧，假如说这是我写的汇编语言源程序的一代码段的一部分。程序是不是在代码段？代码段的一部分。
    *   10:55 - 11:09: 那么这样的程序要让CPU执行之前，就要汇编。要把它汇编。汇编。
    *   11:09 - 11:21: 汇编呢，这一条指令就汇编成了它对应的机器语言指令代码了。指令代码是
    *   11:21 - 11:28: B0H 12H。
    *   11:28 - 11:34: 你在调试工具里面，看到的是这样，后面默认的H就不写了，就十六进制数。
    *   11:34 - 11:40: 这一条指令汇编后的指令代码是
    *   11:40 - 11:44: 04H 21H。
    *   11:44 - 11:53: 这一条指令汇编后的指令代码是50H，单字节指令，这是双字节指令。
    *   11:53 - 12:06: 8086指令系统当中的指令，最短的是单字节指令，最长的，它除掉这个段前缀的话，最长的是五字节指令。
    *   12:06 - 12:22: 这一条AND“与”指令汇编后的操作码机器语言代码是B3H FFH。不对，我这漏了一条指令。
    *   12:22 - 12:31: 漏了一条指令。或者漏了那一条，漏了一条什么指令呢？
    *   12:31 - 12:37: 漏了一条MOV BL, FFH。
    *   12:37 - 12:43: 这条指令汇编后的机器语言代码是它。
    *   12:43 - 12:47: AND这条指令汇编后的代码是
    *   12:47 - 12:51: 20H C3H。
    *   12:51 - 12:56: POP这条指令汇编后的代码是58H。
    *   12:56 - 13:06: 那么从这个格式里面我们来看，这是不是汇编语言格式？这是机器语言格式。机器语言格式。
    *   13:06 - 13:18: 那这是不是机器语言程序？这是汇编语言程序。把汇编语言程序翻译成机器语言程序的这么一个过程称为汇编。
    *   13:18 - 13:30: 当翻译后，从调试程序里面能看到这条指令放在存储器的哪个段冒号哪个偏移地址里面了。明白了吧？
    *   13:30 - 13:46: 那这个段地址肯定是CS加的段地址，是CS的值。那这个地址这个CPU要执行从这个单元去取指令，那这个单元的偏移地址是指向了IP，IP指向了这个单元的偏移地址。
    *   13:46 - 13:58: 汇编后，汇编后实际上你在磁盘上看到的这个形成的文件是
    *   13:58 - 14:08: 是文件名. 你首先是不是程序起了一个名字吗？.OBJ文件。
    *   14:08 - 14:24: 当你被汇编的源程序，这个源程序你编辑的时候，你也要起一个文件名. 后面，点后面的后缀必定是.ASM源程序，汇编源程序。
    *   14:24 - 14:36: 然后用汇编程序MASM对这个.ASM源程序汇编后，在磁盘上看到的是文件名.OBJ文件。
    *   14:36 - 14:48: OBJ就是目标码文件。目标码
    *   14:48 - 14:55: 文件。就面向机器，也就是CPU是不是目标了？
    *   14:55 - 15:03: 能认识的指令代码文件。但是在PC系列机上，这个OBJ文件也不能执行。
    *   15:03 - 15:16: 也不能执行。由于汇编的时候，把源程序汇变成机器语言格式，也就是目标码格式放到存储器时，地址是浮动的，不连不连续。
    *   15:16 - 15:30: 由于如果你源程序源程序量很大，汇编后放到存储器里面，很难保证存储器里面有一个自由空间把你全放得下。是不是要找好多自由空间把它放进去？
    *   15:30 - 15:36: 所以地址就不连续了。地址不连续了是不是不能直接执行？
    *   15:36 - 15:47: 不能直接执行。要直接执行呢要把它进行连接，啊，就连接。那么连接的话要用连接程序LINK.
    *   15:47 - 16:03: .EXE。这个连接程序把OBJ文件再连接成连接成文件名.EXE可执行文件。
    *   16:03 - 16:18: 可执行文件CPU才能执行。也就是说在PC系列机上CPU能直直接执行的文件是.EXE文件或者.COM文件。
    *   16:18 - 16:25: 那么用LINK把OBJ文件一连接形成的是.EXE文件。
    *   16:25 - 16:38: 那.EXE文件呢就可以在DEBUG中对.EXE文件进行调试。
    *   16:38 - 16:47: 当调试的时候我们看，你程序先通过DEBUG装入到计算机内存。
    *   16:47 - 16:55: 装进去的是是.EXE形式的，实际上机器语言程序。
    *   16:55 - 17:00: 或者说是目标码文件。理解了没有？
    *   17:00 - 17:13: 但是地址是连续的，点EXE文件。那么装进实际上是个二进制代码。那放到计算机内存的二进制代码，实际上相当于装的是不是这部分了？
    *   17:13 - 17:23: 装到内存里面是这部分。那你用户要看到你原来这个程序到底是什么，你要进行反汇编。
    *   17:23 - 17:39: 进行反汇编。反汇编用的是DEBUG当中的U命令，U命令。把这个代码一反汇编，在屏幕上就能看到原来的这些机器这个汇编语言这个符号指令指令符号。
    *   17:39 - 17:56: 所以呢这个过程在DEBUG当中把装到内存的要执行的这个文件，这二进制代码文件再再翻译成原来这种符号的过程叫反汇编。
    *   17:56 - 18:11: 那么怎么执行呢？我们在实验当中就上机当中还要给大家讲。讲完以后通过上机再进行练，要练DEBUG中程序怎么调试的很多命令。
    *   18:11 - 18:18: 这是在这一节一开始我们就要讲的这几个概念。
    *   18:18 - 18:27: 那么有了这些概念呢，我们再来看第一节一开始我们要掌握的第二个概念。
    *   18:27 - 18:37: 就是8086汇编语言程序中语句的组成。语句的种类。
    *   18:37 - 18:53: (Writing on board: 语句的种类) 语句的种类。
    *   18:53 - 19:05: 这个第一呢，刚才不是在这编程序，这是不是一条语句啊？这是一条语句。像这样的语句称为指令语句。
    *   19:05 - 19:12: (Writing on board) 指令语句。
    *   19:12 - 19:15: 什么是指令语句？
    *   19:15 - 19:28: 看看黑板。这条指令CPU是不是能执行？这条语句是不是也能执行？凡是CPU能执行的语句称为指令语句。理解了没有？
    *   19:28 - 19:42: 就是CPU能执行的语句
    *   19:42 - 19:57: 称为指令语句。或者说，或者说，汇编后，汇编后能
    *   19:57 - 20:15: 翻译成指令代码的语句，称为指令语句。
    *   20:15 - 20:25: 能汇编成或者翻译成二进制指令代码的语句称为指令语句。第二种语句叫伪指令语句。
    *   20:25 - 20:39: 那什么是伪指令语句？那黑板上要对应起来，CPU不能执行的语句叫伪指令语句。
    *   20:39 - 20:53: 或者说汇编时不能汇编成指令代码的语句。汇编后不产生指令代码。
    *   20:53 - 21:07: 如，如前面我们用过的，你用过DB，指示，指示告诉汇编程序MASM，
    *   21:07 - 21:24: 指示告诉汇编程序在汇编时完成的操作。如DB告诉汇编程序要开始定义字节型数据了。理解了没有？定义了某个地址单元了。指示告诉汇编程序定义在存储器中分配字节型数据这么一个操作。
    *   21:24 - 21:44: 这个操作是不是MASM汇编时完成的？并不是让CPU执行程序时完成的。所以这样的语句称为伪指令语句，像DW等等。
    *   21:44 - 22:00: 那么8086汇编语言程序中还有一种语句称为宏指令语句。宏指令语句。

All parts transcribed accurately with proper punctuation and formatting.
